Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name
394,2.0,169,0.07100591715976332,DJ Hooda
395,27.0,382,0.42408376963350786,Anureet Singh
396,0.0,6,0.0,KS Williamson
397,0.0,30,0.0,SA Abbott
398,1.0,246,0.024390243902439025,J Suchith
399,4.0,35,0.6857142857142857,RG More
400,5.0,203,0.14778325123152708,HH Pandya
401,9.0,279,0.1935483870967742,D Wiese
403,29.0,605,0.287603305785124,MJ McClenaghan
404,7.0,84,0.5,DJ Muthuswami
405,6.0,84,0.42857142857142855,PJ Cummins
406,1.0,18,0.3333333333333333,SN Thakur
408,12.0,142,0.5070422535211268,CR Brathwaite
409,9.0,138,0.391304347826087,MP Stoinis
411,0.0,12,0.0,C Munro
412,6.0,105,0.34285714285714286,P Sahu
413,2.0,187,0.0641711229946524,KH Pandya
416,7.0,97,0.43298969072164945,KJ Abbott
418,4.0,171,0.14035087719298245,M Ashwin
422,8.0,115,0.41739130434782606,KC Cariappa
424,0.0,18,0.0,Swapnil Singh
425,0.0,144,0.0,J Yadav
429,13.0,316,0.2468354430379747,BB Sran
430,2.0,102,0.11764705882352941,A Zampa
431,0.0,6,0.0,N Rana
432,4.0,139,0.1726618705035971,S Kaushik
434,12.0,170,0.4235294117647059,CJ Jordan
435,5.0,132,0.22727272727272727,P Amarnath
436,0.0,48,0.0,B Geeves
437,1.0,84,0.07142857142857142,Gagandeep Singh
438,0.0,18,0.0,A Nel
439,5.0,150,0.2,AM Salvi
440,0.0,12,0.0,RR Bose
441,0.0,25,0.0,SS Sarkar
442,0.0,6,0.0,RA Shaikh
443,0.0,6,0.0,C Ganapathy
444,0.0,18,0.0,MB Parmar
445,0.0,12,0.0,AA Kazi
446,1.0,155,0.03870967741935484,Anand Rajan
447,0.0,6,0.0,P Prasanth
448,0.0,6,0.0,SS Mundhe
449,0.0,18,0.0,RW Price
450,0.0,74,0.0,TP Sudhindra
451,11.0,384,0.171875,BW Hilfenhaus
452,6.0,109,0.33027522935779813,S Badree
453,10.0,100,0.6,P Suyal
454,3.0,25,0.72,MG Neser
455,0.0,6,0.0,V Shankar
456,1.0,48,0.125,K Santokie
457,1.0,59,0.10169491525423728,JW Hastings
458,3.0,192,0.09375,TA Boult
459,4.0,48,0.5,GS Sandhu
460,6.0,366,0.09836065573770492,Mustafizur Rahman
461,1.0,24,0.25,AF Milne
462,2.0,72,0.16666666666666666,Kuldeep Yadav
463,4.0,96,0.25,T Shamsi
464,2.0,42,0.2857142857142857,SM Boland
465,1.0,30,0.2,DL Chahar
