Player_Id,Player_Name,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,total_runs_conceded,balls_bowled,economy_rate,all_rounder_index,Is_Keeper,Country,wickets,Team_Name,Role
32,SR Watson,2553.0,1869.0,372.0,136.59711075441413,19.903691813804173,75.0,1717.0,0.262085032032615,259.0763331549848,0,Australia,73,Rajasthan Royals,All-Rounder
32,SR Watson,2553.0,1869.0,372.0,136.59711075441413,19.903691813804173,75.0,1717.0,0.262085032032615,259.0763331549848,0,Australia,73,Royal Challengers Bangalore,All-Rounder
33,M Kaif,259.0,258.0,28.0,100.3875968992248,10.852713178294572,,,,,0,India,0,Rajasthan Royals,Batsman
33,M Kaif,259.0,258.0,28.0,100.3875968992248,10.852713178294572,,,,,0,India,0,Kings Xi Punjab,Batsman
33,M Kaif,259.0,258.0,28.0,100.3875968992248,10.852713178294572,,,,,0,India,0,Royal Challengers Bangalore,Batsman
35,RA Jadeja,1574.0,1340.0,165.0,117.46268656716418,12.313432835820896,26.0,1705.0,0.0914956011730205,605.2057022579411,0,India,59,Rajasthan Royals,All-Rounder
35,RA Jadeja,1574.0,1340.0,165.0,117.46268656716418,12.313432835820896,26.0,1705.0,0.0914956011730205,605.2057022579411,0,India,59,Kochi Tuskers Kerala,All-Rounder
35,RA Jadeja,1574.0,1340.0,165.0,117.46268656716418,12.313432835820896,26.0,1705.0,0.0914956011730205,605.2057022579411,0,India,59,Chennai Super Kings,All-Rounder
35,RA Jadeja,1574.0,1340.0,165.0,117.46268656716418,12.313432835820896,26.0,1705.0,0.0914956011730205,605.2057022579411,0,India,59,Gujarat Lions,All-Rounder
36,M Rawat,55.0,70.0,5.0,78.57142857142857,7.142857142857142,,,,,1,India,0,Rajasthan Royals,Wicketkeeper
36,M Rawat,55.0,70.0,5.0,78.57142857142857,7.142857142857142,,,,,1,India,0,Pune Warriors,Wicketkeeper
36,M Rawat,55.0,70.0,5.0,78.57142857142857,7.142857142857142,,,,,0,India,0,Rajasthan Royals,Batsman
36,M Rawat,55.0,70.0,5.0,78.57142857142857,7.142857142857142,,,,,0,India,0,Pune Warriors,Batsman
37,D Salunkhe,33.0,24.0,5.0,137.5,20.833333333333336,4.0,48.0,0.5,168.75,0,India,1,Rajasthan Royals,Batsman
38,SK Warne,198.0,219.0,20.0,90.41095890410958,9.1324200913242,18.0,1194.0,0.0904522613065326,597.9832572298325,0,Australia,57,Rajasthan Royals,Bowler
39,SK Trivedi,42.0,61.0,4.0,68.85245901639344,6.557377049180328,47.0,1527.0,0.1846758349705304,305.1709103592606,0,India,46,Rajasthan Royals,Bowler
40,G Gambhir,3634.0,3028.0,473.0,120.01321003963012,15.620871862615587,,,,,0,India,0,Delhi Daredevils,Batsman
40,G Gambhir,3634.0,3028.0,473.0,120.01321003963012,15.620871862615587,,,,,0,India,0,Kolkata Knight Riders,Batsman
41,V Sehwag,2728.0,1833.0,440.0,148.82705946535734,24.004364429896345,6.0,137.0,0.2627737226277372,264.69130751045645,0,India,6,Delhi Daredevils,All-Rounder
41,V Sehwag,2728.0,1833.0,440.0,148.82705946535734,24.004364429896345,6.0,137.0,0.2627737226277372,264.69130751045645,0,India,6,Kings Xi Punjab,All-Rounder
42,S Dhawan,3082.0,2622.0,410.0,117.54385964912282,15.636918382913803,1.0,49.0,0.1224489795918367,467.10526315789474,0,India,1,Delhi Daredevils,Batsman
42,S Dhawan,3082.0,2622.0,410.0,117.54385964912282,15.636918382913803,1.0,49.0,0.1224489795918367,467.10526315789474,0,India,1,Mumbai Indians,Batsman
42,S Dhawan,3082.0,2622.0,410.0,117.54385964912282,15.636918382913803,1.0,49.0,0.1224489795918367,467.10526315789474,0,India,1,Deccan Chargers,Batsman
42,S Dhawan,3082.0,2622.0,410.0,117.54385964912282,15.636918382913803,1.0,49.0,0.1224489795918367,467.10526315789474,0,India,1,Sunrisers Hyderabad,Batsman
43,L Ronchi,34.0,37.0,7.0,91.8918918918919,18.91891891891892,,,,,1,Australia,0,Mumbai Indians,Wicketkeeper
43,L Ronchi,34.0,37.0,7.0,91.8918918918919,18.91891891891892,,,,,0,Australia,0,Mumbai Indians,Batsman
44,ST Jayasuriya,768.0,573.0,123.0,134.03141361256544,21.46596858638744,6.0,294.0,0.1224489795918367,475.349040139616,0,Sri Lanka,13,Mumbai Indians,Bowler
45,DJ Thornely,39.0,54.0,4.0,72.22222222222221,7.4074074074074066,0.0,42.0,0.0,inf,0,Australia,3,Mumbai Indians,Batsman
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,0,India,0,Mumbai Indians,Batsman
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,0,India,0,Royal Challengers Bangalore,Batsman
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,0,India,0,Pune Warriors,Batsman
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,0,India,0,Kolkata Knight Riders,Batsman
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,1,India,0,Mumbai Indians,Wicketkeeper
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,1,India,0,Royal Challengers Bangalore,Wicketkeeper
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,1,India,0,Pune Warriors,Wicketkeeper
46,RV Uthappa,3390.0,2721.0,445.0,124.58654906284454,16.35428151414921,,,,,1,India,0,Kolkata Knight Riders,Wicketkeeper
47,PR Shah,91.0,96.0,11.0,94.79166666666666,11.458333333333332,,,,,0,India,0,Mumbai Indians,Batsman
47,PR Shah,91.0,96.0,11.0,94.79166666666666,11.458333333333332,,,,,0,India,0,Rajasthan Royals,Batsman
47,PR Shah,91.0,96.0,11.0,94.79166666666666,11.458333333333332,,,,,1,India,0,Mumbai Indians,Wicketkeeper
47,PR Shah,91.0,96.0,11.0,94.79166666666666,11.458333333333332,,,,,1,India,0,Rajasthan Royals,Wicketkeeper
48,AM Nayar,672.0,588.0,75.0,114.28571428571428,12.755102040816327,1.0,229.0,0.0262008733624454,1965.4761904761904,0,India,8,Mumbai Indians,All-Rounder
48,AM Nayar,672.0,588.0,75.0,114.28571428571428,12.755102040816327,1.0,229.0,0.0262008733624454,1965.4761904761904,0,India,8,Kings Xi Punjab,All-Rounder
48,AM Nayar,672.0,588.0,75.0,114.28571428571428,12.755102040816327,1.0,229.0,0.0262008733624454,1965.4761904761904,0,India,8,Pune Warriors,All-Rounder
48,AM Nayar,672.0,588.0,75.0,114.28571428571428,12.755102040816327,1.0,229.0,0.0262008733624454,1965.4761904761904,0,India,8,Rajasthan Royals,All-Rounder
49,SM Pollock,147.0,116.0,20.0,126.72413793103448,17.24137931034483,6.0,276.0,0.1304347826086956,446.6954022988506,0,South Africa,11,Mumbai Indians,Bowler
50,Harbhajan Singh,783.0,574.0,116.0,136.41114982578398,20.20905923344948,66.0,2687.0,0.1473762560476367,407.4732516805688,0,India,107,Mumbai Indians,Bowler
51,S Chanderpaul,25.0,33.0,4.0,75.75757575757575,12.12121212121212,,,,,0,West Indies,0,Royal Challengers Bangalore,Batsman
