Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name
46,3390.0,2721,445,124.58654906284454,16.35428151414921,RV Uthappa
47,91.0,96,11,94.79166666666666,11.458333333333332,PR Shah
48,672.0,588,75,114.28571428571428,12.755102040816327,AM Nayar
49,147.0,116,20,126.72413793103448,17.24137931034483,SM Pollock
50,783.0,574,116,136.41114982578398,20.209059233449477,Harbhajan Singh
51,25.0,33,4,75.75757575757575,12.121212121212121,S Chanderpaul
52,1017.0,847,112,120.07083825265643,13.223140495867769,LRPL Taylor
53,2065.0,1554,330,132.88288288288288,21.235521235521233,AC Gilchrist
54,985.0,865,114,113.87283236994219,13.179190751445086,Y Venugopal Rao
55,282.0,271,38,104.0590405904059,14.022140221402212,VVS Laxman
56,974.0,781,115,124.71190781049937,14.7247119078105,A Symonds
57,3874.0,2996,487,129.30574098798397,16.255006675567422,RG Sharma
58,131.0,134,13,97.76119402985076,9.701492537313433,SB Styris
59,49.0,58,4,84.48275862068965,6.896551724137931,SB Bangar
60,81.0,73,5,110.95890410958904,6.8493150684931505,WPUJC Vaas
61,52.0,78,3,66.66666666666666,3.8461538461538463,RP Singh
62,1323.0,1025,159,129.0731707317073,15.512195121951219,WP Saha
63,399.0,358,48,111.45251396648044,13.40782122905028,LR Shukla
64,1808.0,1522,240,118.7910643889619,15.768725361366624,DPMD Jayawardene
65,368.0,311,52,118.32797427652733,16.720257234726688,S Sohal
66,124.0,102,16,121.56862745098039,15.686274509803921,B Lee
67,513.0,461,64,111.27982646420824,13.882863340563992,PP Chawla
68,56.0,76,2,73.68421052631578,2.631578947368421,WA Mota
69,128.0,78,21,164.1025641025641,26.923076923076923,Kamran Akmal
70,81.0,46,13,176.08695652173913,28.26086956521739,Shahid Afridi
71,1262.0,1032,150,122.28682170542635,14.534883720930234,DJ Bravo
72,24.0,22,3,109.09090909090908,13.636363636363635,MA Khote
73,41.0,63,4,65.07936507936508,6.349206349206349,A Nehra
74,739.0,690,103,107.10144927536231,14.927536231884059,GC Smith
76,73.0,78,7,93.58974358974359,8.974358974358974,RR Sarwan
77,34.0,57,6,59.64912280701754,10.526315789473683,S Sreesanth
79,1218.0,1064,128,114.4736842105263,12.030075187969924,SS Tiwary
80,89.0,99,8,89.8989898989899,8.080808080808081,DS Kulkarni
81,304.0,285,29,106.66666666666667,10.175438596491228,R Vinay Kumar
82,179.0,160,18,111.87499999999999,11.25,AB Agarkar
83,113.0,109,8,103.6697247706422,7.339449541284404,M Kartik
84,37.0,46,3,80.43478260869566,6.521739130434782,I Sharma
85,2675.0,2274,336,117.63412489006157,14.775725593667547,AM Rahane
86,52.0,49,5,106.12244897959184,10.204081632653061,Shoaib Malik
87,1324.0,1202,149,110.14975041597337,12.396006655574043,MK Tiwary
