Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name_batting,Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name_bowling,all_rounder_index
35,1574.0,1340,165,117.46268656716418,12.313432835820896,RA Jadeja,35,26.0,1705,0.09149560117302052,RA Jadeja,605.2057022579411
37,33.0,24,5,137.5,20.833333333333336,D Salunkhe,37,4.0,48,0.5,D Salunkhe,168.75
38,198.0,219,20,90.41095890410958,9.1324200913242,SK Warne,38,18.0,1194,0.09045226130653267,SK Warne,597.9832572298325
39,42.0,61,4,68.85245901639344,6.557377049180328,SK Trivedi,39,47.0,1527,0.18467583497053044,SK Trivedi,305.1709103592606
41,2728.0,1833,440,148.82705946535734,24.004364429896345,V Sehwag,41,6.0,137,0.26277372262773724,V Sehwag,264.69130751045645
42,3082.0,2622,410,117.54385964912282,15.636918382913805,S Dhawan,42,1.0,49,0.12244897959183675,S Dhawan,467.10526315789474
44,768.0,573,123,134.03141361256544,21.465968586387437,ST Jayasuriya,44,6.0,294,0.12244897959183673,ST Jayasuriya,475.349040139616
45,39.0,54,4,72.22222222222221,7.4074074074074066,DJ Thornely,45,0.0,42,0.0,DJ Thornely,inf
48,672.0,588,75,114.28571428571428,12.755102040816327,AM Nayar,48,1.0,229,0.026200873362445417,AM Nayar,1965.4761904761904
49,147.0,116,20,126.72413793103448,17.24137931034483,SM Pollock,49,6.0,276,0.13043478260869565,SM Pollock,446.6954022988506
50,783.0,574,116,136.41114982578398,20.209059233449477,Harbhajan Singh,50,66.0,2687,0.14737625604763677,Harbhajan Singh,407.47325168056875
54,985.0,865,114,113.87283236994219,13.179190751445086,Y Venugopal Rao,54,1.0,216,0.027777777777777776,Y Venugopal Rao,1856.936416184971
56,974.0,781,115,124.71190781049937,14.7247119078105,A Symonds,56,21.0,528,0.23863636363636365,A Symonds,271.8797634290592
57,3874.0,2996,487,129.30574098798397,16.255006675567422,RG Sharma,57,9.0,332,0.16265060240963855,RG Sharma,372.0602779013994
58,131.0,134,13,97.76119402985076,9.701492537313433,SB Styris,58,2.0,216,0.05555555555555555,SB Styris,948.8805970149253
59,49.0,58,4,84.48275862068965,6.896551724137931,SB Bangar,59,2.0,150,0.08,SB Bangar,667.2413793103449
60,81.0,73,5,110.95890410958904,6.8493150684931505,WPUJC Vaas,60,13.0,284,0.27464788732394363,WPUJC Vaas,237.53073410607658
61,52.0,78,3,66.66666666666666,3.8461538461538463,RP Singh,61,87.0,1802,0.28967813540510545,RP Singh,205.93869731800766
63,399.0,358,48,111.45251396648044,13.40782122905028,LR Shukla,63,15.0,316,0.2848101265822785,LR Shukla,231.28181253879575
66,124.0,102,16,121.56862745098039,15.686274509803921,B Lee,66,47.0,894,0.31543624161073824,B Lee,219.29495202336253
67,513.0,461,64,111.27982646420824,13.882863340563992,PP Chawla,67,48.0,2448,0.11764705882352941,PP Chawla,480.6399132321041
68,56.0,76,2,73.68421052631578,2.631578947368421,WA Mota,68,3.0,73,0.24657534246575344,WA Mota,239.61988304093566
70,81.0,46,13,176.08695652173913,28.26086956521739,Shahid Afridi,70,13.0,181,0.430939226519337,Shahid Afridi,204.06911928651058
71,1262.0,1032,150,122.28682170542635,14.534883720930234,DJ Bravo,71,65.0,2047,0.19052271617000488,DJ Bravo,323.5793082886106
72,24.0,22,3,109.09090909090908,13.636363636363635,MA Khote,72,1.0,30,0.2,MA Khote,304.54545454545456
73,41.0,63,4,65.07936507936508,6.349206349206349,A Nehra,73,49.0,1793,0.16397099832682654,A Nehra,337.4716553287982
77,34.0,57,6,59.64912280701754,10.526315789473683,S Sreesanth,77,58.0,905,0.38453038674033146,S Sreesanth,159.8532970356927
80,89.0,99,8,89.8989898989899,8.080808080808081,DS Kulkarni,80,51.0,1313,0.23305407463823305,DS Kulkarni,259.4919786096257
